nom;sex;age;poids;taille;pays;ann;titre
Marina Viktorovna Dobrancheva-Logvinenko;Femme;30;63;154;EUN;1992;1.Or
Jasna ekari (Brajkovi-);Femme;26;70;175;IOA;1992;2.Argent
Mariya Zdravkova Grozdeva (Grigorova-);Femme;20;63;163;BUL;1992;3.Bronze
Olga Gennadyevna Klochneva-Kuznetsova;Femme;27;73;163;RUS;1996;1.Or
Marina Viktorovna Dobrancheva-Logvinenko;Femme;34;63;154;RUS;1996;2.Argent
Mariya Zdravkova Grozdeva (Grigorova-);Femme;24;63;163;BUL;1996;3.Bronze
Tao Luna;Femme;26;60;160;CHN;2000;1.Or
Jasna ekari (Brajkovi-);Femme;34;70;175;SCG;2000;2.Argent
Annemarie Forder;Femme;22;77;175;AUS;2000;3.Bronze
Olena Dmytrivna Kostevych;Femme;19;52;160;UKR;2004;1.Or
Jasna ekari (Brajkovi-);Femme;38;70;175;SCG;2004;2.Argent
Mariya Zdravkova Grozdeva (Grigorova-);Femme;32;63;163;BUL;2004;3.Bronze
Guo Wenjun;Femme;24;60;168;CHN;2008;1.Or
Nataliya Fyodorovna Paderina (Akhmertdinova-);Femme;32;56;160;RUS;2008;2.Argent
Nino Salukvadze (-Machavariani);Femme;39;58;168;GEO;2008;3.Bronze
Guo Wenjun;Femme;28;60;168;CHN;2012;1.Or
Cline Sandrine Francine Goberville;Femme;25;53;156;FRA;2012;2.Argent
Olena Dmytrivna Kostevych;Femme;27;52;160;UKR;2012;3.Bronze
Zhang Mengxue;Femme;25;70;162;CHN;2016;1.Or
Vitalina Igorevna Batsarashkina;Femme;19;60;162;RUS;2016;2.Argent
Anna Korakaki;Femme;20;65;175;GRE;2016;3.Bronze
Vitalina Batsarashkina;Femme;28;60;162;ROC;2020;1.Or
Antoaneta Boneva;Femme;38;58;168;BUL;2020;2.Argent
Ranxin Jiang;Femme;24;NA;NA;CHN;2020;3.Bronze
Ye Jin Oh;Femme;19;45;165;KOR;2024;1.Or
Yeji Kim;Femme;32;78;182;KOR;2024;2.Argent
Manu Bhaker;Femme;22;168;60;IND;2024;3.Bronze
Wang Yifu;Homme;31;85;174;CHN;1992;1.Or
Sergey Nikolayevich Pyzhyanov;Homme;31;75;170;EUN;1992;2.Argent
Sorin Babii;Homme;28;80;170;ROU;1992;3.Bronze
Roberto Di Donna;Homme;27;75;177;ITA;1996;1.Or
Wang Yifu;Homme;35;85;174;CHN;1996;2.Argent
Tanyu Khristov Kiryakov;Homme;33;90;182;BUL;1996;3.Bronze
Franck Dumoulin;Homme;28;73;171;FRA;2000;1.Or
Wang Yifu;Homme;39;85;174;CHN;2000;2.Argent
Igor Mikhaylovich Basinsky;Homme;37;97;180;BLR;2000;3.Bronze
Wang Yifu;Homme;43;85;174;CHN;2004;1.Or
Mikhail Valeryevich Nestruyev;Homme;35;61;174;RUS;2004;2.Argent
Vladimir Vyacheslavovich Isakov;Homme;34;83;178;RUS;2004;3.Bronze
Pang Wei;Homme;22;77;178;CHN;2008;1.Or
Jin Jong-O;Homme;28;78;175;KOR;2008;2.Argent
Jason Turner;Homme;33;98;183;USA;2008;3.Bronze
Jin Jong-O;Homme;32;78;175;KOR;2012;1.Or
Luca Tesconi;Homme;30;73;177;ITA;2012;2.Argent
Andrija Zlati;Homme;34;75;178;SRB;2012;3.Bronze
Hong Xun Vinh;Homme;41;75;175;VIE;2016;1.Or
Felipe Almeida Wu;Homme;24;69;169;BRA;2016;2.Argent
Pang Wei;Homme;30;77;178;CHN;2016;3.Bronze
Javad Foroughi;Homme;45;92;174;IRI;2020;1.Or
Damir Mikec;Homme;40;81;179;SRB;2020;2.Argent
Wei Pang;Homme;38;73;179;CHN;2020;3.Bronze
Yu Xie;Homme;24;NA;NA;CHN;2024;1.Or
Frederico Nilo Maldini;Homme;23;NA;NA;ITA;2024;2.Argent
Paolo Monna;Homme;26;85;184;ITA;2024;3.Bronze
